id,incident_type,severity,priority,description,latitude,longitude
447,road_accident,critical,1,"Sensor alert: Multi-vehicle pileup involving oil tanker and 8 passenger cars, tanker leaking flammable fuel with fire hazard. Automatic threshold exceeded.",12.887781,77.509652
448,other,low,4,911 Call log: Noise complaint regarding loud late-night construction work. Caller very distressed.,13.141204,77.656989
449,road_accident,low,4,"Citizen emergency report: Minor scratch collision in shopping mall parking lot, drivers arguing over insurance. Situation escalating.",13.102781,77.503053
450,medical,high,2,"Sensor alert: Fall from height in residence, 40-year-old with suspected spinal trauma and compound fracture. Automatic threshold exceeded.",12.815291,77.690956
451,flood,low,4,"Urgent: Puddle accumulation on residential street curb, slow drainage. Dispatch immediately.",13.039534,77.607017
452,other,high,2,Urgent: Suspicious unattended duffel bag with exposed wiring near subway entrance ticket counter. Dispatch immediately.,12.811679,77.526717
453,road_accident,low,4,"Sensor alert: Minor scratch collision in shopping mall parking lot, drivers arguing over insurance. Automatic threshold exceeded.",12.773673,77.614741
454,flood,high,2,"Main drainage choked, waist-deep water flooding commercial district streets. Emergency personnel dispatched.",12.962579,77.474382
455,industrial_accident,high,2,"Field team update: Conveyor belt failure in steel mill causing molten metal spill, three workers suffered burns. Responders on scene request assistance.",13.029959,77.757775
456,fire,medium,3,"Citizen emergency report: Rubbish pile burning near vacant construction site, smoke bothering nearby residents. Situation escalating.",12.985661,77.683847
457,fire,high,2,Wildfire spreading rapidly towards residential suburb due to high winds. Urgent containment needed. Perimeter needs to be secured.,13.124498,77.464915
458,fire,high,2,"Vehicle pileup caught fire on national highway, two cars burning with people trapped. Emergency personnel dispatched.",12.846125,77.694201
459,industrial_accident,high,2,"Urgent: Crane collapse at major construction site, operator injured and high-voltage power lines snapped. Dispatch immediately.",12.890957,77.635713
460,industrial_accident,medium,3,Electrical spark panel tripping repeatedly with burning plastic odor in factory unit B. Emergency personnel dispatched.,13.16724,77.61192
461,road_accident,low,4,"Minor scratch collision in shopping mall parking lot, drivers arguing over insurance.",12.958808,77.471725
462,fire,low,4,"Sensor alert: Extinguished kitchen pan fire, caller requesting precautionary smoke inspection. Automatic threshold exceeded.",13.064048,77.653914
463,other,low,4,Urgent: Noise complaint regarding loud late-night construction work. Dispatch immediately.,13.066247,77.710907
464,medical,medium,3,"Sensor alert: Deep kitchen laceration on hand bleeding steadily, direct pressure applied, stitches required. Automatic threshold exceeded.",13.015982,77.65009
465,road_accident,critical,1,"Multi-vehicle pileup involving oil tanker and 8 passenger cars, tanker leaking flammable fuel with fire hazard.",12.902771,77.554933
466,fire,low,4,"Sensor alert: Unattended small bonfire in public park, no immediate danger. Automatic threshold exceeded.",12.962582,77.76893
467,fire,critical,1,"Severe fire outbreak in downtown commercial complex, heavy black smoke, structural collapse imminent. Perimeter needs to be secured.",12.865809,77.696103
468,industrial_accident,medium,3,Urgent: Electrical spark panel tripping repeatedly with burning plastic odor in factory unit B. Dispatch immediately.,12.876221,77.538421
469,flood,low,4,"Caller reports: Puddle accumulation on residential street curb, slow drainage. Please send backup.",12.957758,77.458487
470,other,medium,3,"Field team update: Large stray animal trapped in drainage culvert, animal rescue assistance requested. Responders on scene request assistance.",13.047716,77.650085
471,industrial_accident,high,2,"Citizen emergency report: Conveyor belt failure in steel mill causing molten metal spill, three workers suffered burns. Situation escalating.",12.859251,77.448028
472,flood,critical,1,"911 Call log: Severe storm surge breaking seawall, water rushing into coastal hospital ground floor. Caller very distressed.",12.937938,77.614294
473,road_accident,low,4,"Citizen emergency report: Rear mirror collision in slow-moving traffic jam, no injuries. Situation escalating.",13.076344,77.666737
474,medical,low,4,"Caller feeling mild dizziness after missing lunch, asking for non-emergency medical advice.",12.950299,77.676106
475,fire,medium,3,"Caller reports: Rubbish pile burning near vacant construction site, smoke bothering nearby residents. Please send backup.",12.796303,77.61366
476,medical,critical,1,"Severe anaphylactic shock at restaurant, patient experiencing respiratory failure and swelling.",12.831541,77.525847
477,medical,critical,1,Caller reports: Multiple people collapsed at outdoor concert due to suspected heat stroke and dehydration crisis. Please send backup.,13.043718,77.681367
478,road_accident,low,4,"Minor scratch collision in shopping mall parking lot, drivers arguing over insurance.",12.949793,77.416854
479,flood,critical,1,"Severe storm surge breaking seawall, water rushing into coastal hospital ground floor. Emergency personnel dispatched.",12.997164,77.618119
480,other,medium,3,Urgent: Traffic signal outage at four-way intersection causing chaotic vehicular gridlock. Dispatch immediately.,12.929979,77.721181
481,flood,medium,3,"Urgent: Waterlogging on main avenue causing 2-hour traffic gridlock, water reaching knee height. Dispatch immediately.",12.941079,77.674754
482,medical,high,2,"Caller reports: Elderly woman showing stroke symptoms: facial droop, slurred speech, acute weakness on right side. Please send backup.",13.166055,77.583428
483,industrial_accident,high,2,"Sensor alert: Worker fell from 30ft scaffolding onto metal beams, severe trauma, rescue team needed. Automatic threshold exceeded.",13.079189,77.700931
484,other,high,2,"911 Call log: Active gas smell in dense residential neighborhood, multiple residents reporting nausea. Caller very distressed.",13.168743,77.547592
485,road_accident,critical,1,"Caller reports: Multi-vehicle pileup involving oil tanker and 8 passenger cars, tanker leaking flammable fuel with fire hazard. Please send backup.",13.044692,77.659317
486,medical,high,2,"911 Call log: Severe asthma attack in residential home, inhaler ineffective, oxygen saturation dropping rapidly. Caller very distressed.",12.819053,77.791739
487,road_accident,critical,1,"Sensor alert: Head-on collision between passenger bus and truck, multiple fatalities and people pinned inside wreckage. Automatic threshold exceeded.",13.062743,77.483676
488,fire,critical,1,Field team update: Massive explosion at chemical factory! Multiple workers trapped inside and flames spreading to adjacent units. Responders on scene request assistance.,12.956802,77.682238
489,road_accident,high,2,"Citizen emergency report: Motorcyclist struck by delivery truck, lying unresponsive on arterial ring road. Situation escalating.",12.870605,77.533064
490,industrial_accident,critical,1,"Caller reports: Boiler blast at manufacturing unit, roof collapsed with multiple workers buried under debris. Please send backup.",12.784487,77.658679
491,medical,low,4,"Citizen emergency report: Caller feeling mild dizziness after missing lunch, asking for non-emergency medical advice. Situation escalating.",12.854033,77.434959
492,fire,high,2,"Urgent: Vehicle pileup caught fire on national highway, two cars burning with people trapped. Dispatch immediately.",12.869494,77.412295
493,road_accident,medium,3,"Fender bender between taxi and city bus blocking two lanes of traffic, no serious injuries.",12.858508,77.740092
494,fire,high,2,Wildfire spreading rapidly towards residential suburb due to high winds. Urgent containment needed.,13.168993,77.488265
495,medical,medium,3,"911 Call log: Sprained ankle and contusions after slipping on wet steps, patient unable to bear weight. Caller very distressed.",12.866362,77.745103
496,other,medium,3,"Citizen emergency report: Large stray animal trapped in drainage culvert, animal rescue assistance requested. Situation escalating.",12.937024,77.504662
497,medical,high,2,"Severe asthma attack in residential home, inhaler ineffective, oxygen saturation dropping rapidly. Perimeter needs to be secured.",12.99394,77.413354
498,industrial_accident,low,4,Safety inspection protocol test run at logistics depot. Perimeter needs to be secured.,13.085922,77.522094
499,road_accident,high,2,"Sensor alert: Motorcyclist struck by delivery truck, lying unresponsive on arterial ring road. Automatic threshold exceeded.",12.891555,77.468152
500,medical,high,2,"Citizen emergency report: Diabetic emergency, patient unresponsive with extremely low blood sugar reading. Situation escalating.",13.111336,77.514895
